Trial no.1
original centers: 
11.18 13.04 0.8266 5.22 2.693 3.332 5.001
12.26 13.6 0.8333 5.408 2.833 4.756 5.36
11.56 13.31 0.8198 5.363 2.683 4.062 5.182

convergence reached!
final centroids and cluster:
12.113461538461538 12.959615384615383 0.8363846153846155 5.0237307692307684 2.8890769230769235 2.1245038461538464 4.726807692307693
15.66786163522014 14.883081761006293 0.870388679245283 5.727433962264154 3.3577295597484276 3.817453459119496 5.502339622641508
11.137142857142859 12.646071428571428 0.813282142857143 5.0254642857142855 2.6897142857142855 4.101071428571428 4.925928571428572

S.3	13.84	13.94	0.8955	5.324	3.379	2.259	4.805	1
S.11	14.03	14.16	0.8796	5.438	3.201	1.717	5.001	1
S.14	13.74	14.05	0.8744	5.482	3.114	2.932	4.825	1
S.23	12.08	13.23	0.8664	5.099	2.936	1.415	4.961	1
S.26	13.02	13.76	0.8641	5.395	3.026	3.373	4.825	1
S.27	12.74	13.67	0.8564	5.395	2.956	2.504	4.869	1
S.29	13.45	14.02	0.8604	5.516	3.065	3.531	5.097	1
S.30	13.16	13.82	0.8662	5.454	2.975	0.8551	5.056	1
S.33	13.94	14.17	0.8728	5.585	3.15	2.124	5.012	1
S.40	13.54	13.85	0.8871	5.348	3.156	2.587	5.178	1
S.41	13.5	13.85	0.8852	5.351	3.158	2.249	5.176	1
S.42	13.16	13.55	0.9009	5.138	3.201	2.461	4.783	1
S.45	13.8	14.04	0.8794	5.376	3.155	1.56	4.961	1
S.59	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	1
S.60	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	1
S.61	11.23	12.63	0.884	4.902	2.879	2.269	4.703	1
S.62	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	1
S.64	12.78	13.57	0.8716	5.262	3.026	1.176	4.782	1
S.65	12.88	13.5	0.8879	5.139	3.119	2.352	4.607	1
S.66	14.34	14.37	0.8726	5.63	3.19	1.313	5.15	1
S.69	12.73	13.75	0.8458	5.412	2.882	3.533	5.067	1
S.146	11.43	13.13	0.8335	5.176	2.719	2.221	5.132	1
S.148	12.7	13.71	0.8491	5.386	2.911	3.26	5.316	1
S.160	12.54	13.67	0.8425	5.451	2.879	3.082	5.491	1
S.165	12.1	13.15	0.8793	5.105	2.941	2.201	5.056	1
S.179	12.21	13.47	0.8453	5.357	2.893	1.661	5.178	1
S.198	12.62	13.67	0.8481	5.41	2.911	3.306	5.231	1
S.199	12.76	13.38	0.8964	5.073	3.155	2.828	4.83	1
S.201	12.67	13.32	0.8977	4.984	3.135	2.3	4.745	1
current cluster size: 29


S.0	15.26	14.84	0.871	5.763	3.312	2.221	5.22	2
S.1	14.88	14.57	0.8811	5.554	3.333	1.018	4.956	2
S.2	14.29	14.09	0.905	5.291	3.337	2.699	4.825	2
S.4	16.14	14.99	0.9034	5.658	3.562	1.355	5.175	2
S.5	14.38	14.21	0.8951	5.386	3.312	2.462	4.956	2
S.6	14.69	14.49	0.8799	5.563	3.259	3.586	5.219	2
S.7	14.11	14.1	0.8911	5.42	3.302	2.7	5.0	2
S.8	16.63	15.46	0.8747	6.053	3.465	2.04	5.877	2
S.9	16.44	15.25	0.888	5.884	3.505	1.969	5.533	2
S.10	15.26	14.85	0.8696	5.714	3.242	4.543	5.314	2
S.12	13.89	14.02	0.888	5.439	3.199	3.986	4.738	2
S.13	13.78	14.06	0.8759	5.479	3.156	3.136	4.872	2
S.15	14.59	14.28	0.8993	5.351	3.333	4.185	4.781	2
S.16	13.99	13.83	0.9183	5.119	3.383	5.234	4.781	2
S.17	15.69	14.75	0.9058	5.527	3.514	1.599	5.046	2
S.18	14.7	14.21	0.9153	5.205	3.466	1.767	4.649	2
S.20	14.16	14.4	0.8584	5.658	3.129	3.072	5.176	2
S.21	14.11	14.26	0.8722	5.52	3.168	2.688	5.219	2
S.22	15.88	14.9	0.8988	5.618	3.507	0.7651	5.091	2
S.24	15.01	14.76	0.8657	5.789	3.245	1.791	5.001	2
S.25	16.19	15.16	0.8849	5.833	3.421	0.903	5.307	2
S.28	14.11	14.18	0.882	5.541	3.221	2.754	5.038	2
S.31	15.49	14.94	0.8724	5.757	3.371	3.412	5.228	2
S.32	14.09	14.41	0.8529	5.717	3.186	3.92	5.299	2
S.34	15.05	14.68	0.8779	5.712	3.328	2.129	5.36	2
S.35	16.12	15.0	0.9	5.709	3.485	2.27	5.443	2
S.36	16.2	15.27	0.8734	5.826	3.464	2.823	5.527	2
S.37	17.08	15.38	0.9079	5.832	3.683	2.956	5.484	2
S.38	14.8	14.52	0.8823	5.656	3.288	3.112	5.309	2
S.39	14.28	14.17	0.8944	5.397	3.298	6.685	5.001	2
S.43	15.5	14.86	0.882	5.877	3.396	4.711	5.528	2
S.44	15.11	14.54	0.8986	5.579	3.462	3.128	5.18	2
S.46	15.36	14.76	0.8861	5.701	3.393	1.367	5.132	2
S.47	14.99	14.56	0.8883	5.57	3.377	2.958	5.175	2
S.48	14.79	14.52	0.8819	5.545	3.291	2.704	5.111	2
S.49	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	2
S.50	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	2
S.51	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	2
S.52	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	2
S.53	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	2
S.54	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	2
S.55	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	2
S.56	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	2
